ISR_Time,Total_Lines,Total_Time,CPU_Time,Overhead_Time,Overhead(%)
40,153,1315,605,710,53.99
45,153,1385,605,780,56.32
50,153,1455,605,850,58.42
55,153,1525,605,920,60.33
60,153,1595,605,990,62.07
65,153,1665,605,1060,63.66
70,153,1735,605,1130,65.13
75,153,1805,605,1200,66.48
80,153,1875,605,1270,67.73
85,153,1945,605,1340,68.89
90,153,2015,605,1410,69.98
95,153,2085,605,1480,70.98
100,153,2155,605,1550,71.93
105,153,2225,605,1620,72.81
110,153,2295,605,1690,73.64
115,153,2365,605,1760,74.42
120,153,2435,605,1830,75.15
125,153,2505,605,1900,75.85
130,153,2575,605,1970,76.50
135,153,2645,605,2040,77.13
140,153,2715,605,2110,77.72
145,153,2785,605,2180,78.28
150,153,2855,605,2250,78.81
155,153,2925,605,2320,79.32
160,153,2995,605,2390,79.80
165,153,3065,605,2460,80.26
170,153,3135,605,2530,80.70
175,153,3205,605,2600,81.12
180,153,3275,605,2670,81.53
185,153,3345,605,2740,81.91
190,153,3415,605,2810,82.28
195,153,3485,605,2880,82.64
200,153,3555,605,2950,82.98
